"category","prompt","response","expected_answer","context"
"Login Issue","Customer support ticket for API Service. Category: Login Issue. Issue: The system is not syncing data across devices properly. Priority: Medium. Channel: Chat. Region: Asia. Subscription: Basic. Previous tickets: 20.","Security settings updated and customer notified of precautionary measures.","Security settings updated and customer notified of precautionary measures.","Product: API Service | Priority: Medium | Ticket status: Closed | Channel: Chat | Region: Asia | SLA breached: No | Issue complexity: 7 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Feature Request","Customer support ticket for Analytics Dashboard. Category: Feature Request. Issue: I am unable to access my account after entering the correct credentials. Priority: High. Channel: Social Media. Region: Australia. Subscription: Enterprise. Previous tickets: 4.","The duplicate charge was reversed and refund processed within 3-5 business days.","The duplicate charge was reversed and refund processed within 3-5 business days.","Product: Analytics Dashboard | Priority: High | Ticket status: In Progress | Channel: Social Media | Region: Australia | SLA breached: No | Issue complexity: 4 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Refund Request","Customer support ticket for Payment Gateway. Category: Refund Request. Issue: The payment was deducted from my bank account but the transaction shows failed. Priority: Medium. Channel: Chat. Region: Africa. Subscription: Free. Previous tickets: 3.","Explained billing breakdown and clarified applicable charges.","Explained billing breakdown and clarified applicable charges.","Product: Payment Gateway | Priority: Medium | Ticket status: Resolved | Channel: Chat | Region: Africa | SLA breached: Yes | Issue complexity: 3 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Feature Request","Customer support ticket for E-commerce Store. Category: Feature Request. Issue: The payment was deducted from my bank account but the transaction shows failed. Priority: Medium. Channel: Phone. Region: Europe. Subscription: Free. Previous tickets: 19.","Payment gateway timeout issue fixed and monitoring implemented.","Payment gateway timeout issue fixed and monitoring implemented.","Product: E-commerce Store | Priority: Medium | Ticket status: Resolved | Channel: Phone | Region: Europe | SLA breached: No | Issue complexity: 5 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Payment Problem","Customer support ticket for Cloud Storage. Category: Payment Problem. Issue: I am unable to access my account after entering the correct credentials. Priority: Medium. Channel: Web Form. Region: Europe. Subscription: Premium. Previous tickets: 15.","The duplicate charge was reversed and refund processed within 3-5 business days.","The duplicate charge was reversed and refund processed within 3-5 business days.","Product: Cloud Storage | Priority: Medium | Ticket status: Closed | Channel: Web Form | Region: Europe | SLA breached: Yes | Issue complexity: 10 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Refund Request","Customer support ticket for Cloud Storage. Category: Refund Request. Issue: I am unable to access my account after entering the correct credentials. Priority: Urgent. Channel: Social Media. Region: North America. Subscription: Enterprise. Previous tickets: 0.","Security settings updated and customer notified of precautionary measures.","Security settings updated and customer notified of precautionary measures.","Product: Cloud Storage | Priority: Urgent | Ticket status: Closed | Channel: Social Media | Region: North America | SLA breached: Yes | Issue complexity: 5 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Login Issue","Customer support ticket for Analytics Dashboard. Category: Login Issue. Issue: There seems to be a discrepancy in my billing statement for this month. Priority: Medium. Channel: Social Media. Region: Australia. Subscription: Enterprise. Previous tickets: 11.","Payment gateway timeout issue fixed and monitoring implemented.","Payment gateway timeout issue fixed and monitoring implemented.","Product: Analytics Dashboard | Priority: Medium | Ticket status: In Progress | Channel: Social Media | Region: Australia | SLA breached: No | Issue complexity: 2 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Account Suspension","Customer support ticket for Analytics Dashboard. Category: Account Suspension. Issue: Two-factor authentication codes are not being delivered to my phone. Priority: Urgent. Channel: Phone. Region: South America. Subscription: Basic. Previous tickets: 10.","Subscription status corrected and confirmation email sent to customer.","Subscription status corrected and confirmation email sent to customer.","Product: Analytics Dashboard | Priority: Urgent | Ticket status: Pending Customer | Channel: Phone | Region: South America | SLA breached: Yes | Issue complexity: 2 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Performance Issue","Customer support ticket for E-commerce Store. Category: Performance Issue. Issue: The system is not syncing data across devices properly. Priority: Medium. Channel: Email. Region: Africa. Subscription: Free. Previous tickets: 7.","Security settings updated and customer notified of precautionary measures.","Security settings updated and customer notified of precautionary measures.","Product: E-commerce Store | Priority: Medium | Ticket status: Resolved | Channel: Email | Region: Africa | SLA breached: No | Issue complexity: 4 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Login Issue","Customer support ticket for Cloud Storage. Category: Login Issue. Issue: I found a bug in the latest update affecting report generation. Priority: Urgent. Channel: Social Media. Region: Australia. Subscription: Basic. Previous tickets: 16.","Payment gateway timeout issue fixed and monitoring implemented.","Payment gateway timeout issue fixed and monitoring implemented.","Product: Cloud Storage | Priority: Urgent | Ticket status: Closed | Channel: Social Media | Region: Australia | SLA breached: No | Issue complexity: 4 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Bug Report","Customer support ticket for Payment Gateway. Category: Bug Report. Issue: The system is not syncing data across devices properly. Priority: Low. Channel: Web Form. Region: Australia. Subscription: Basic. Previous tickets: 11.","Explained billing breakdown and clarified applicable charges.","Explained billing breakdown and clarified applicable charges.","Product: Payment Gateway | Priority: Low | Ticket status: Closed | Channel: Web Form | Region: Australia | SLA breached: Yes | Issue complexity: 2 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Performance Issue","Customer support ticket for Web Portal. Category: Performance Issue. Issue: I would like to request a refund for the recent charge. Priority: High. Channel: Phone. Region: Australia. Subscription: Free. Previous tickets: 19.","The issue was escalated to engineering and resolved in the latest patch.","The issue was escalated to engineering and resolved in the latest patch.","Product: Web Portal | Priority: High | Ticket status: Open | Channel: Phone | Region: Australia | SLA breached: No | Issue complexity: 6 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Security Concern","Customer support ticket for Mobile App. Category: Security Concern. Issue: I found a bug in the latest update affecting report generation. Priority: Low. Channel: Social Media. Region: North America. Subscription: Free. Previous tickets: 13.","Security settings updated and customer notified of precautionary measures.","Security settings updated and customer notified of precautionary measures.","Product: Mobile App | Priority: Low | Ticket status: Pending Customer | Channel: Social Media | Region: North America | SLA breached: Yes | Issue complexity: 2 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Subscription Cancellation","Customer support ticket for Payment Gateway. Category: Subscription Cancellation. Issue: My subscription was cancelled without my request and I need clarification. Priority: Low. Channel: Phone. Region: Europe. Subscription: Premium. Previous tickets: 2.","Security settings updated and customer notified of precautionary measures.","Security settings updated and customer notified of precautionary measures.","Product: Payment Gateway | Priority: Low | Ticket status: Pending Customer | Channel: Phone | Region: Europe | SLA breached: Yes | Issue complexity: 1 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Account Suspension","Customer support ticket for Mobile App. Category: Account Suspension. Issue: I am unable to access my account after entering the correct credentials. Priority: Low. Channel: Web Form. Region: Asia. Subscription: Premium. Previous tickets: 2.","Data synchronization restored after backend service restart.","Data synchronization restored after backend service restart.","Product: Mobile App | Priority: Low | Ticket status: Pending Customer | Channel: Web Form | Region: Asia | SLA breached: Yes | Issue complexity: 10 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Data Sync Issue","Customer support ticket for Web Portal. Category: Data Sync Issue. Issue: I am unable to access my account after entering the correct credentials. Priority: High. Channel: Email. Region: Asia. Subscription: Basic. Previous tickets: 3.","Data synchronization restored after backend service restart.","Data synchronization restored after backend service restart.","Product: Web Portal | Priority: High | Ticket status: Pending Customer | Channel: Email | Region: Asia | SLA breached: No | Issue complexity: 6 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Refund Request","Customer support ticket for Mobile App. Category: Refund Request. Issue: I am unable to access my account after entering the correct credentials. Priority: Urgent. Channel: Email. Region: Australia. Subscription: Premium. Previous tickets: 16.","Security settings updated and customer notified of precautionary measures.","Security settings updated and customer notified of precautionary measures.","Product: Mobile App | Priority: Urgent | Ticket status: Closed | Channel: Email | Region: Australia | SLA breached: Yes | Issue complexity: 5 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Login Issue","Customer support ticket for CRM Platform. Category: Login Issue. Issue: I would like to request a refund for the recent charge. Priority: Urgent. Channel: Web Form. Region: Asia. Subscription: Free. Previous tickets: 1.","The duplicate charge was reversed and refund processed within 3-5 business days.","The duplicate charge was reversed and refund processed within 3-5 business days.","Product: CRM Platform | Priority: Urgent | Ticket status: Closed | Channel: Web Form | Region: Asia | SLA breached: No | Issue complexity: 7 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Security Concern","Customer support ticket for API Service. Category: Security Concern. Issue: The system is not syncing data across devices properly. Priority: High. Channel: Chat. Region: North America. Subscription: Basic. Previous tickets: 10.","The issue was escalated to engineering and resolved in the latest patch.","The issue was escalated to engineering and resolved in the latest patch.","Product: API Service | Priority: High | Ticket status: Open | Channel: Chat | Region: North America | SLA breached: Yes | Issue complexity: 4 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Refund Request","Customer support ticket for Payment Gateway. Category: Refund Request. Issue: I am unable to access my account after entering the correct credentials. Priority: Medium. Channel: Phone. Region: South America. Subscription: Premium. Previous tickets: 20.","The issue was escalated to engineering and resolved in the latest patch.","The issue was escalated to engineering and resolved in the latest patch.","Product: Payment Gateway | Priority: Medium | Ticket status: Closed | Channel: Phone | Region: South America | SLA breached: No | Issue complexity: 7 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Payment Problem","Customer support ticket for Cloud Storage. Category: Payment Problem. Issue: The payment was deducted from my bank account but the transaction shows failed. Priority: Low. Channel: Social Media. Region: Asia. Subscription: Premium. Previous tickets: 12.","The issue was escalated to engineering and resolved in the latest patch.","The issue was escalated to engineering and resolved in the latest patch.","Product: Cloud Storage | Priority: Low | Ticket status: In Progress | Channel: Social Media | Region: Asia | SLA breached: Yes | Issue complexity: 4 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Bug Report","Customer support ticket for Payment Gateway. Category: Bug Report. Issue: I am unable to access my account after entering the correct credentials. Priority: Low. Channel: Chat. Region: South America. Subscription: Enterprise. Previous tickets: 4.","Bug logged internally and workaround shared with the customer.","Bug logged internally and workaround shared with the customer.","Product: Payment Gateway | Priority: Low | Ticket status: Open | Channel: Chat | Region: South America | SLA breached: Yes | Issue complexity: 6 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Refund Request","Customer support ticket for API Service. Category: Refund Request. Issue: My subscription was cancelled without my request and I need clarification. Priority: Low. Channel: Chat. Region: Africa. Subscription: Enterprise. Previous tickets: 14.","Provided step-by-step troubleshooting instructions and issue resolved.","Provided step-by-step troubleshooting instructions and issue resolved.","Product: API Service | Priority: Low | Ticket status: In Progress | Channel: Chat | Region: Africa | SLA breached: Yes | Issue complexity: 2 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Performance Issue","Customer support ticket for Payment Gateway. Category: Performance Issue. Issue: There seems to be a discrepancy in my billing statement for this month. Priority: Low. Channel: Email. Region: South America. Subscription: Free. Previous tickets: 12.","We have reset the account credentials and advised the customer to retry login.","We have reset the account credentials and advised the customer to retry login.","Product: Payment Gateway | Priority: Low | Ticket status: In Progress | Channel: Email | Region: South America | SLA breached: Yes | Issue complexity: 5 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Subscription Cancellation","Customer support ticket for CRM Platform. Category: Subscription Cancellation. Issue: I found a bug in the latest update affecting report generation. Priority: Urgent. Channel: Chat. Region: South America. Subscription: Basic. Previous tickets: 9.","Provided step-by-step troubleshooting instructions and issue resolved.","Provided step-by-step troubleshooting instructions and issue resolved.","Product: CRM Platform | Priority: Urgent | Ticket status: Resolved | Channel: Chat | Region: South America | SLA breached: Yes | Issue complexity: 1 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Performance Issue","Customer support ticket for E-commerce Store. Category: Performance Issue. Issue: The application crashes whenever I try to upload a file. Priority: Urgent. Channel: Web Form. Region: South America. Subscription: Premium. Previous tickets: 10.","Bug logged internally and workaround shared with the customer.","Bug logged internally and workaround shared with the customer.","Product: E-commerce Store | Priority: Urgent | Ticket status: Resolved | Channel: Web Form | Region: South America | SLA breached: Yes | Issue complexity: 8 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Account Suspension","Customer support ticket for API Service. Category: Account Suspension. Issue: I would like to request a refund for the recent charge. Priority: Urgent. Channel: Social Media. Region: South America. Subscription: Basic. Previous tickets: 17.","The duplicate charge was reversed and refund processed within 3-5 business days.","The duplicate charge was reversed and refund processed within 3-5 business days.","Product: API Service | Priority: Urgent | Ticket status: Pending Customer | Channel: Social Media | Region: South America | SLA breached: Yes | Issue complexity: 5 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Refund Request","Customer support ticket for Subscription Service. Category: Refund Request. Issue: There seems to be a discrepancy in my billing statement for this month. Priority: Medium. Channel: Phone. Region: Australia. Subscription: Free. Previous tickets: 3.","Payment gateway timeout issue fixed and monitoring implemented.","Payment gateway timeout issue fixed and monitoring implemented.","Product: Subscription Service | Priority: Medium | Ticket status: Resolved | Channel: Phone | Region: Australia | SLA breached: No | Issue complexity: 4 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Performance Issue","Customer support ticket for Analytics Dashboard. Category: Performance Issue. Issue: My subscription was cancelled without my request and I need clarification. Priority: Low. Channel: Chat. Region: Europe. Subscription: Free. Previous tickets: 19.","Provided step-by-step troubleshooting instructions and issue resolved.","Provided step-by-step troubleshooting instructions and issue resolved.","Product: Analytics Dashboard | Priority: Low | Ticket status: Closed | Channel: Chat | Region: Europe | SLA breached: No | Issue complexity: 1 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Login Issue","Customer support ticket for Cloud Storage. Category: Login Issue. Issue: I found a bug in the latest update affecting report generation. Priority: Medium. Channel: Email. Region: South America. Subscription: Premium. Previous tickets: 10.","Security settings updated and customer notified of precautionary measures.","Security settings updated and customer notified of precautionary measures.","Product: Cloud Storage | Priority: Medium | Ticket status: Resolved | Channel: Email | Region: South America | SLA breached: No | Issue complexity: 6 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Data Sync Issue","Customer support ticket for CRM Platform. Category: Data Sync Issue. Issue: Two-factor authentication codes are not being delivered to my phone. Priority: High. Channel: Social Media. Region: Asia. Subscription: Enterprise. Previous tickets: 5.","The issue was escalated to engineering and resolved in the latest patch.","The issue was escalated to engineering and resolved in the latest patch.","Product: CRM Platform | Priority: High | Ticket status: In Progress | Channel: Social Media | Region: Asia | SLA breached: No | Issue complexity: 2 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Data Sync Issue","Customer support ticket for E-commerce Store. Category: Data Sync Issue. Issue: I am unable to access my account after entering the correct credentials. Priority: Medium. Channel: Web Form. Region: South America. Subscription: Premium. Previous tickets: 12.","Provided step-by-step troubleshooting instructions and issue resolved.","Provided step-by-step troubleshooting instructions and issue resolved.","Product: E-commerce Store | Priority: Medium | Ticket status: Resolved | Channel: Web Form | Region: South America | SLA breached: No | Issue complexity: 9 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Payment Problem","Customer support ticket for Web Portal. Category: Payment Problem. Issue: There seems to be a discrepancy in my billing statement for this month. Priority: Low. Channel: Email. Region: Europe. Subscription: Premium. Previous tickets: 4.","Data synchronization restored after backend service restart.","Data synchronization restored after backend service restart.","Product: Web Portal | Priority: Low | Ticket status: In Progress | Channel: Email | Region: Europe | SLA breached: Yes | Issue complexity: 10 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Payment Problem","Customer support ticket for Subscription Service. Category: Payment Problem. Issue: I am unable to access my account after entering the correct credentials. Priority: Low. Channel: Email. Region: Africa. Subscription: Enterprise. Previous tickets: 7.","The issue was escalated to engineering and resolved in the latest patch.","The issue was escalated to engineering and resolved in the latest patch.","Product: Subscription Service | Priority: Low | Ticket status: In Progress | Channel: Email | Region: Africa | SLA breached: Yes | Issue complexity: 8 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Payment Problem","Customer support ticket for Analytics Dashboard. Category: Payment Problem. Issue: My subscription was cancelled without my request and I need clarification. Priority: Medium. Channel: Social Media. Region: Europe. Subscription: Free. Previous tickets: 5.","Subscription status corrected and confirmation email sent to customer.","Subscription status corrected and confirmation email sent to customer.","Product: Analytics Dashboard | Priority: Medium | Ticket status: Closed | Channel: Social Media | Region: Europe | SLA breached: No | Issue complexity: 4 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Feature Request","Customer support ticket for Web Portal. Category: Feature Request. Issue: I am experiencing very slow performance while using the dashboard. Priority: Low. Channel: Web Form. Region: Asia. Subscription: Free. Previous tickets: 13.","The issue was escalated to engineering and resolved in the latest patch.","The issue was escalated to engineering and resolved in the latest patch.","Product: Web Portal | Priority: Low | Ticket status: Open | Channel: Web Form | Region: Asia | SLA breached: Yes | Issue complexity: 10 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Subscription Cancellation","Customer support ticket for CRM Platform. Category: Subscription Cancellation. Issue: I am experiencing very slow performance while using the dashboard. Priority: Medium. Channel: Social Media. Region: Europe. Subscription: Premium. Previous tickets: 14.","Payment gateway timeout issue fixed and monitoring implemented.","Payment gateway timeout issue fixed and monitoring implemented.","Product: CRM Platform | Priority: Medium | Ticket status: In Progress | Channel: Social Media | Region: Europe | SLA breached: No | Issue complexity: 7 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Performance Issue","Customer support ticket for Payment Gateway. Category: Performance Issue. Issue: I am unable to access my account after entering the correct credentials. Priority: Medium. Channel: Chat. Region: Europe. Subscription: Enterprise. Previous tickets: 4.","Bug logged internally and workaround shared with the customer.","Bug logged internally and workaround shared with the customer.","Product: Payment Gateway | Priority: Medium | Ticket status: Closed | Channel: Chat | Region: Europe | SLA breached: Yes | Issue complexity: 8 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Login Issue","Customer support ticket for Web Portal. Category: Login Issue. Issue: There seems to be a discrepancy in my billing statement for this month. Priority: High. Channel: Social Media. Region: Asia. Subscription: Enterprise. Previous tickets: 6.","The duplicate charge was reversed and refund processed within 3-5 business days.","The duplicate charge was reversed and refund processed within 3-5 business days.","Product: Web Portal | Priority: High | Ticket status: Resolved | Channel: Social Media | Region: Asia | SLA breached: No | Issue complexity: 10 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Account Suspension","Customer support ticket for Cloud Storage. Category: Account Suspension. Issue: There seems to be a discrepancy in my billing statement for this month. Priority: Low. Channel: Web Form. Region: Asia. Subscription: Basic. Previous tickets: 7.","Explained billing breakdown and clarified applicable charges.","Explained billing breakdown and clarified applicable charges.","Product: Cloud Storage | Priority: Low | Ticket status: Open | Channel: Web Form | Region: Asia | SLA breached: No | Issue complexity: 3 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Bug Report","Customer support ticket for Cloud Storage. Category: Bug Report. Issue: I would like to request a refund for the recent charge. Priority: Low. Channel: Social Media. Region: North America. Subscription: Premium. Previous tickets: 16.","Explained billing breakdown and clarified applicable charges.","Explained billing breakdown and clarified applicable charges.","Product: Cloud Storage | Priority: Low | Ticket status: Pending Customer | Channel: Social Media | Region: North America | SLA breached: Yes | Issue complexity: 6 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Performance Issue","Customer support ticket for API Service. Category: Performance Issue. Issue: I found a bug in the latest update affecting report generation. Priority: Medium. Channel: Phone. Region: South America. Subscription: Basic. Previous tickets: 20.","Payment gateway timeout issue fixed and monitoring implemented.","Payment gateway timeout issue fixed and monitoring implemented.","Product: API Service | Priority: Medium | Ticket status: Pending Customer | Channel: Phone | Region: South America | SLA breached: No | Issue complexity: 4 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Feature Request","Customer support ticket for E-commerce Store. Category: Feature Request. Issue: I am unable to access my account after entering the correct credentials. Priority: Low. Channel: Web Form. Region: Europe. Subscription: Enterprise. Previous tickets: 5.","We have reset the account credentials and advised the customer to retry login.","We have reset the account credentials and advised the customer to retry login.","Product: E-commerce Store | Priority: Low | Ticket status: Pending Customer | Channel: Web Form | Region: Europe | SLA breached: No | Issue complexity: 3 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Performance Issue","Customer support ticket for CRM Platform. Category: Performance Issue. Issue: The system is not syncing data across devices properly. Priority: Medium. Channel: Web Form. Region: Australia. Subscription: Enterprise. Previous tickets: 10.","Payment gateway timeout issue fixed and monitoring implemented.","Payment gateway timeout issue fixed and monitoring implemented.","Product: CRM Platform | Priority: Medium | Ticket status: Pending Customer | Channel: Web Form | Region: Australia | SLA breached: No | Issue complexity: 3 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Account Suspension","Customer support ticket for CRM Platform. Category: Account Suspension. Issue: The application crashes whenever I try to upload a file. Priority: High. Channel: Email. Region: South America. Subscription: Enterprise. Previous tickets: 17.","The duplicate charge was reversed and refund processed within 3-5 business days.","The duplicate charge was reversed and refund processed within 3-5 business days.","Product: CRM Platform | Priority: High | Ticket status: Pending Customer | Channel: Email | Region: South America | SLA breached: Yes | Issue complexity: 2 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Bug Report","Customer support ticket for Mobile App. Category: Bug Report. Issue: I would like to request a refund for the recent charge. Priority: Medium. Channel: Chat. Region: Europe. Subscription: Premium. Previous tickets: 20.","We have reset the account credentials and advised the customer to retry login.","We have reset the account credentials and advised the customer to retry login.","Product: Mobile App | Priority: Medium | Ticket status: In Progress | Channel: Chat | Region: Europe | SLA breached: Yes | Issue complexity: 10 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Payment Problem","Customer support ticket for API Service. Category: Payment Problem. Issue: I found a bug in the latest update affecting report generation. Priority: Medium. Channel: Chat. Region: Europe. Subscription: Premium. Previous tickets: 17.","Security settings updated and customer notified of precautionary measures.","Security settings updated and customer notified of precautionary measures.","Product: API Service | Priority: Medium | Ticket status: Resolved | Channel: Chat | Region: Europe | SLA breached: No | Issue complexity: 2 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Refund Request","Customer support ticket for Web Portal. Category: Refund Request. Issue: The application crashes whenever I try to upload a file. Priority: Low. Channel: Email. Region: Africa. Subscription: Basic. Previous tickets: 18.","The issue was escalated to engineering and resolved in the latest patch.","The issue was escalated to engineering and resolved in the latest patch.","Product: Web Portal | Priority: Low | Ticket status: Resolved | Channel: Email | Region: Africa | SLA breached: No | Issue complexity: 4 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Performance Issue","Customer support ticket for E-commerce Store. Category: Performance Issue. Issue: The application crashes whenever I try to upload a file. Priority: High. Channel: Web Form. Region: Australia. Subscription: Enterprise. Previous tickets: 17.","Payment gateway timeout issue fixed and monitoring implemented.","Payment gateway timeout issue fixed and monitoring implemented.","Product: E-commerce Store | Priority: High | Ticket status: Resolved | Channel: Web Form | Region: Australia | SLA breached: Yes | Issue complexity: 1 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Login Issue","Customer support ticket for Subscription Service. Category: Login Issue. Issue: There seems to be a discrepancy in my billing statement for this month. Priority: Urgent. Channel: Email. Region: Asia. Subscription: Free. Previous tickets: 1.","Subscription status corrected and confirmation email sent to customer.","Subscription status corrected and confirmation email sent to customer.","Product: Subscription Service | Priority: Urgent | Ticket status: Pending Customer | Channel: Email | Region: Asia | SLA breached: Yes | Issue complexity: 2 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Login Issue","Customer support ticket for Web Portal. Category: Login Issue. Issue: I found a bug in the latest update affecting report generation. Priority: Medium. Channel: Email. Region: South America. Subscription: Free. Previous tickets: 15.","Payment gateway timeout issue fixed and monitoring implemented.","Payment gateway timeout issue fixed and monitoring implemented.","Product: Web Portal | Priority: Medium | Ticket status: In Progress | Channel: Email | Region: South America | SLA breached: Yes | Issue complexity: 4 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Subscription Cancellation","Customer support ticket for Billing System. Category: Subscription Cancellation. Issue: I am unable to access my account after entering the correct credentials. Priority: Urgent. Channel: Web Form. Region: Europe. Subscription: Free. Previous tickets: 11.","We have reset the account credentials and advised the customer to retry login.","We have reset the account credentials and advised the customer to retry login.","Product: Billing System | Priority: Urgent | Ticket status: Closed | Channel: Web Form | Region: Europe | SLA breached: Yes | Issue complexity: 6 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Subscription Cancellation","Customer support ticket for Payment Gateway. Category: Subscription Cancellation. Issue: There seems to be a discrepancy in my billing statement for this month. Priority: Urgent. Channel: Web Form. Region: Asia. Subscription: Premium. Previous tickets: 4.","Provided step-by-step troubleshooting instructions and issue resolved.","Provided step-by-step troubleshooting instructions and issue resolved.","Product: Payment Gateway | Priority: Urgent | Ticket status: Closed | Channel: Web Form | Region: Asia | SLA breached: Yes | Issue complexity: 10 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Bug Report","Customer support ticket for E-commerce Store. Category: Bug Report. Issue: Two-factor authentication codes are not being delivered to my phone. Priority: Low. Channel: Social Media. Region: North America. Subscription: Free. Previous tickets: 17.","The duplicate charge was reversed and refund processed within 3-5 business days.","The duplicate charge was reversed and refund processed within 3-5 business days.","Product: E-commerce Store | Priority: Low | Ticket status: Closed | Channel: Social Media | Region: North America | SLA breached: No | Issue complexity: 9 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Payment Problem","Customer support ticket for Payment Gateway. Category: Payment Problem. Issue: The application crashes whenever I try to upload a file. Priority: Medium. Channel: Social Media. Region: North America. Subscription: Free. Previous tickets: 9.","Payment gateway timeout issue fixed and monitoring implemented.","Payment gateway timeout issue fixed and monitoring implemented.","Product: Payment Gateway | Priority: Medium | Ticket status: Open | Channel: Social Media | Region: North America | SLA breached: Yes | Issue complexity: 2 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
